bank,review,rating,date,source,cleaned
CBE,"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,Google Play,the app was great while it was active however after the app did an update i lost connection with a message network error please try to fix it as there are many clients of cbe using this app globally from abroad countries
CBE,very important app,4,2025-09-21,Google Play,very important app
CBE,the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,Google Play,the best of all mobile banking in ethiopia works perfectly fine
CBE,DANTRO BAND!!!,5,2025-09-21,Google Play,dantro band
CBE,some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,Google Play,some time when make transfer from mobile account to other cbebirr wallet no show customer name so please check itthanks my cbe cbebirr application very nice application wallet
CBE,this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,Google Play,this app is very useful but sometimes when you want to see specific transactions it didnt work so that way i gave 3
CBE,why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,Google Play,why i must visit the branch i opened my account to activate the mobile banking services if it a connected network it maybe done from any branch
CBE,አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,Google Play,
CBE,asfaw damse,5,2025-09-19,Google Play,asfaw damse
CBE,jabadhaa namatii tolataan,5,2025-09-19,Google Play,jabadhaa namatii tolataan
CBE,"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,Google Play,the app is very good in its interface and user friendly but it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of additional account
CBE,The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,Google Play,the app is user friendly but i want some amendment or include option of sending money to other tele birr like other cbe birr
CBE,Truly amazing!,5,2025-09-18,Google Play,truly amazing
CBE,Doesn't have option to generate statement for transactions,3,2025-09-18,Google Play,doesnt have option to generate statement for transactions
CBE,😎,5,2025-09-18,Google Play,
CBE,JanaleBl,5,2025-09-17,Google Play,janalebl
CBE,nice application,5,2025-09-17,Google Play,nice application
CBE,WaaaaaaaW,1,2025-09-17,Google Play,waaaaaaaw
CBE,very nice,5,2025-09-16,Google Play,very nice
CBE,Of,5,2025-09-16,Google Play,of
CBE,it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,Google Play,its best app to use recently and upgraded day to day for internationalization
CBE,Easy to use and not Complicated 👍,5,2025-09-15,Google Play,easy to use and not complicated
CBE,apdat the app,5,2025-09-14,Google Play,apdat the app
CBE,good in bankin at any time & any where.,5,2025-09-13,Google Play,good in bankin at any time any where
CBE,great,5,2025-09-13,Google Play,great
CBE,"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,Google Play,what a useless app transfers wallet payments other banks nothing works updated restarted cleared cache reinstalled still useless crashed and forced me to visit a branch just to log in 3 times one of the biggest banks in the country cant fix issues a junior developer could solve completely unreliable big bank zero functionality
CBE,it is best to me,1,2025-09-13,Google Play,it is best to me
CBE,hayizgi mebrahtom feshay,5,2025-09-13,Google Play,hayizgi mebrahtom feshay
CBE,Excellent app,5,2025-09-12,Google Play,excellent app
CBE,after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,Google Play,after apdate the app doesnt work any thing else it said enable to connects
CBE,love,5,2025-09-12,Google Play,love
CBE,Hasasa bank,1,2025-09-11,Google Play,hasasa bank
CBE,All ways Trusted.,5,2025-09-11,Google Play,all ways trusted
CBE,best MB application in Ethiopia financial sector.,5,2025-09-11,Google Play,best mb application in ethiopia financial sector
CBE,I like this app,5,2025-09-11,Google Play,i like this app
CBE,am tired why I have to update every 5 day,1,2025-09-11,Google Play,am tired why i have to update every 5 day
CBE,usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,Google Play,usb debugig mode bicha off endidereg axrigu like awash bank
CBE,good morning 🙏,5,2025-09-10,Google Play,good morning
CBE,am happy 😃,5,2025-09-09,Google Play,am happy
CBE,wowww,5,2025-09-08,Google Play,wowww
CBE,KEHRU nasir AbFIXA,5,2025-09-08,Google Play,kehru nasir abfixa
CBE,It is well organized.,5,2025-09-08,Google Play,it is well organized
CBE,Can't see the nearest Branch or ATM available,2,2025-09-08,Google Play,cant see the nearest branch or atm available
CBE,the app does not open,1,2025-09-07,Google Play,the app does not open
CBE,from Monk,3,2025-09-06,Google Play,from monk
CBE,"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06,Google Play,amazing delightful and seamless mobile banking application i have ever experienced indeed i feel great proud to be part of your stakeholder my first choice bank commercial bank of ethiopia the pioneer and leading in digital banking services in ethiopia five stars are little to you thank you so much
CBE,incredible,5,2025-09-06,Google Play,incredible
CBE,የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06,Google Play,
CBE,it's the best money transfer app ever,5,2025-09-06,Google Play,its the best money transfer app ever
CBE,it is nice,5,2025-09-05,Google Play,it is nice
CBE,user friendly. best.,5,2025-09-05,Google Play,user friendly best
CBE,🙏,5,2025-09-05,Google Play,
CBE,አሪፍ,5,2025-09-05,Google Play,
CBE,best app!!!,5,2025-09-05,Google Play,best app
