bank,review,rating,date,source,cleaned,sentiment,theme
CBE,"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,Google Play,good robber vat tax service charge unbelievable charge send bank monthly charge etc hope international bank come leave bank,NEGATIVE,Other
CBE,screen shoot always not allowed why?,5,2025-10-02,Google Play,screen shoot allow,POSITIVE,Other
CBE,enkorabetalen,5,2025-10-01,Google Play,enkorabetalen,POSITIVE,Other
CBE,Gamada mahamadi,1,2025-10-01,Google Play,Gamada mahamadi,POSITIVE,Other
CBE,it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Google Play,good banking web network busy hope willfix problem,NEGATIVE,Other
CBE,verfcasencod,5,2025-09-30,Google Play,verfcasencod,NEGATIVE,Other
CBE,you can't get your own transaction history,1,2025-09-29,Google Play,transaction history,POSITIVE,Other
CBE,sintu,5,2025-09-29,Google Play,sintu,NEGATIVE,Other
CBE,BEST,5,2025-09-28,Google Play,well,POSITIVE,Other
CBE,Bank of Ethiopia,5,2025-09-28,Google Play,Bank Ethiopia,POSITIVE,Other
CBE,"All most Good, but need improvement",5,2025-09-27,Google Play,good need improvement,POSITIVE,Other
CBE,"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,Google Play,great application like rate Solid star work overall hello enjoy app,POSITIVE,Other
CBE,poor app all of you guys delete CBE and download BOA,1,2025-09-27,Google Play,poor app guy delete CBE download BOA,NEGATIVE,Other
CBE,niceapp,5,2025-09-27,Google Play,niceapp,POSITIVE,Other
CBE,the best app of all,5,2025-09-25,Google Play,good app,POSITIVE,Other
CBE,❤️,5,2025-09-25,Google Play,,POSITIVE,Other
CBE,"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Google Play,time try open app load circle keep spin try open message say attempt leave offline login mean app connect internet stable internet connection stuff work properly,NEGATIVE,Account Access Issues
CBE,Juhaar,5,2025-09-24,Google Play,Juhaar,NEGATIVE,Other
CBE,I am using CBE app very fantastic.,5,2025-09-24,Google Play,CBE app fantastic,POSITIVE,Other
CBE,bist app tankyou,4,2025-09-23,Google Play,bist app tankyou,NEGATIVE,Other
CBE,this is very useful and consistent app,5,2025-09-23,Google Play,useful consistent app,POSITIVE,Other
CBE,"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,Google Play,application provide timely service good fast reliable manner,POSITIVE,Other
CBE,So good,5,2025-09-23,Google Play,good,POSITIVE,Other
